date,promo_name,promo_level
2017/7/4,Quechua亲子聚划算品牌团/Nabaiji游泳聚划算品牌团,J
2017/7/8,,
2017/7/13,,
2017/7/17,TMALL 运动会&JHS,S
2017/7/22,,
2017/7/26,,
2017/7/31,游泳季,A
2017/8/3,,
2017/8/7,quehcua清仓团,J
2017/8/12,,
2017/8/16,,
2017/8/23,,
2017/8/27,新风尚正式,S
2017/8/30,,
2017/9/2,,
2017/9/6,99品牌盛典预热,
2017/9/11,,
2017/9/15,quehcua聚划算品牌团,J
2017/9/19,kalenji&Domyos聚划算品牌团,J
2017/9/20,kalenji&Domyos聚划算品牌团,J
2017/9/24,Btwin 团,J
2017/9/28,,
2017/10/4,,
2017/10/8,,
2017/10/13,,
2017/10/17,quechua保暖季团,J
2017/10/22,11.11 预售,
2017/10/26,,
2017/10/31,,
2017/11/1,,
2017/11/5,,
2017/11/9,,
2017/11/10,,
2017/11/14,,
2017/11/18,,
2017/11/21,,
2017/11/25,,
2017/11/29,火拼周 聚划算&品牌OUTLETS,J
2017/12/2,,
2017/12/6,,
2017/12/11,,
2017/12/15,,
2017/12/19,Winter sports聚划算,J
2017/12/20,,
2017/12/24,,
2017/12/28,,
2018/1/1,,
2018/1/5,,
2018/1/9,天猫冰雪节 300-10,B
2018/1/10,天猫冰雪节 300-10,B
2018/1/14,hiking 聚划算,J
2018/1/18,,
2018/1/21,年货节预热,
2018/1/25,"年货节 300-10,500-30",S
2018/1/29,,
2018/2/2,,
2018/2/6,年二十一,
2018/2/11,年二十六,
2018/2/15,年三十,
2018/2/19,初四,
2018/2/20,初五,
2018/2/24,初九-上新聚划算,J
2018/2/28,初十三,
2018/3/3,女王节预热,预热
2018/3/7,"女王节200-10,300-20,500-30",S
2018/3/12,,
2018/3/16,,
2018/3/23,新风尚预热,
2018/3/27,新风尚 300-10 500-30,S
2018/3/30,,
2018/4/4,,
2018/4/8,,
2018/4/13,出游季预热,
2018/4/17,出游季200-10 300-20 500-30,A
2018/4/22,男人节预热,
2018/4/26,男人节300-10 500-30,S
2018/5/1,,
2018/5/5,,
2018/5/9,天猫焕新预热,
2018/5/10,天猫焕新,B
2018/5/14,网羽乒团,J
2018/5/18,儿童节预热,
2018/5/21,儿童节,A
2018/5/25,瑜伽团,J
2018/5/29,,
2018/6/2,年中促,S+
2018/6/6,年中促,S+
2018/6/11,年中促,S+
2018/6/15,年中促,S+
2018/6/19,年中促,S+
2018/6/20,年中促,S+
2018/6/24,,
2018/6/28,,
2018/7/3,water2天品牌团,B
2018/7/7,,
2018/7/12,,
2018/7/16,,
2018/7/23,游泳季3天品牌团,B
2018/7/27,天猫运动会预热,
2018/7/30,天猫运动会3天品牌团,S
2018/8/4,,
2018/8/8,,
2018/8/13,山水大自然,B
2018/8/17,,
2018/8/22,天猫新风尚,S
2018/8/26,,
2018/8/31,开学季,A
2018/9/1,开学季,A
2018/9/5,,
2018/9/9,9.9天猫盛典,S
2018/9/10,9.9天猫盛典,S
2018/9/14,,
2018/9/18,,
2018/9/21,,
2018/9/25,,
2018/9/29,,
2018/10/1,,
2018/10/5,足篮球品牌团,B
2018/10/24,秋冬保暖品牌团,B
2018/10/28,,
2018/11/1,,
2018/11/5,,
2018/11/9,,
2018/11/12,,
2018/11/16,,
2018/11/23,,
2018/11/27,,
2018/11/30,,
2018/12/2,,
2019/1/1,,
2019/1/5,,
2019/1/9,,
2019/1/12,,
2019/1/16,"年货节 300-10,500-30",S
2019/1/23,,
2019/1/27,,
2019/1/30,,
2019/2/2,,
2019/2/6,初二,
2019/2/13,健身器械品类日,B
2019/2/17,,
2019/2/22,,
2019/2/26,,
2019/3/3,,
2019/3/7,"女王节200-10,300-20,500-30",S
2019/3/10,,
2019/3/14,,
2019/3/18,跑步节,B
2019/3/21,,
2019/3/25,,
2019/3/29,新风尚,A
2019/4/4,,
2019/4/8,,
2019/4/11,,
2019/4/15,出游季,A
2019/4/19,,
2019/4/20,亲子节,A
2019/4/24,,
2019/4/28,,
2019/5/1,,
2019/5/5,55聚划算大促,A & J+
2019/5/9,,
2019/5/12,,
2019/5/16,,
2019/5/23,,
2019/5/27,,
2019/5/30,,
2019/6/2,,
2019/6/6,,
2019/6/13,,
2019/6/17,,
2019/6/22,,
2018/11/24,,
2018/11/28,,
2018/12/1,,
2019/1/2,,
2019/1/6,,
2019/1/11,,
2019/1/15,"年货节 300-10,500-30",S
2019/1/19,,
2019/1/20,,
2019/1/24,,
2019/1/28,,
2019/2/1,,
2019/2/5,初一,
2019/2/9,初五,
2019/2/10,初六,
2019/2/14,健身器械品类日,B
2019/2/18,开新季,A
2019/2/21,,
2019/2/25,,
2019/3/4,,
2019/3/8,"女王节200-10,300-20,500-30",S
2019/3/13,,
2019/3/17,,
2019/3/22,,
2019/3/26,,
2019/3/31,,
2019/4/3,,
2019/4/7,,
2019/4/12,,
2019/4/16,,
